tick,timestamp,tier,rule_id,urgency,urgency_reason,global_pattern,disrupted_nodes,decision,response_time,modification_factor,n_instructions,instructions_summary,rationale,scenario_id
36,2026-07-18 15:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,modify,0.611,0.867,1,outgoing_orders ×0.80,Farm Manager memodifikasi instruksi (faktor=0.87) — pendekatan lebih konservatif,100
36,2026-07-18 15:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,accept,0.31,1.0,1,processing_capacity ×0.80,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",100
36,2026-07-18 15:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,0|1|0|0|0,farm,modify,0.267,0.898,1,reorder_request +20,Store Manager memodifikasi instruksi (faktor=0.90) — pendekatan lebih konservatif,100
144,2026-07-19 18:00,farm,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.623,1.0,2,outgoing_orders ×0.75; production_capacity ×1.05,"Farm Manager menerima rekomendasi coordinator (R12, urgency=high)",100
144,2026-07-19 18:00,wholesaler,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,0.617,1.0,2,distribution_capacity ×0.85; delivery_schedule='rerouted',"Distribution Manager menerima rekomendasi coordinator (R12, urgency=high)",100
324,2026-07-21 15:00,farm,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,timeout,2.551,1.0,2,outgoing_orders ×0.75; production_capacity ×1.05,Farm Manager tidak merespons dalam 2.0h → auto-accept,100
324,2026-07-21 15:00,wholesaler,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.012,1.0,2,distribution_capacity ×0.85; delivery_schedule='rerouted',"Distribution Manager menerima rekomendasi coordinator (R12, urgency=high)",100
360,2026-07-22 00:00,wholesaler,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,accept,1.143,1.0,2,delivery_schedule='rerouted'; pending_shipments ×0.85,"Distribution Manager menerima rekomendasi coordinator (R8, urgency=normal)",100
360,2026-07-22 00:00,retail,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,override,0.265,0.4,1,demand_estimate ×0.95,Store Manager mengganti instruksi (faktor=0.40) — kebijakan lokal diprioritaskan,100
396,2026-07-22 09:00,farm,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.926,1.0,2,outgoing_orders ×0.75; production_capacity ×1.05,"Farm Manager menerima rekomendasi coordinator (R12, urgency=high)",100
396,2026-07-22 09:00,wholesaler,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,timeout,1.543,1.0,2,distribution_capacity ×0.85; delivery_schedule='rerouted',Distribution Manager tidak merespons dalam 1.5h → auto-accept,100
424,2026-07-22 16:00,farm,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,timeout,3.151,1.0,2,outgoing_orders ×0.75; production_capacity ×1.05,Farm Manager tidak merespons dalam 2.0h → auto-accept,100
424,2026-07-22 16:00,wholesaler,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,1.026,1.0,2,distribution_capacity ×0.85; delivery_schedule='rerouted',"Distribution Manager menerima rekomendasi coordinator (R12, urgency=high)",100
432,2026-07-22 18:00,wholesaler,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,accept,0.918,1.0,2,delivery_schedule='rerouted'; pending_shipments ×0.85,"Distribution Manager menerima rekomendasi coordinator (R8, urgency=normal)",100
432,2026-07-22 18:00,retail,R8,normal,Gangguan logistik bersifat lokal dan dapat diatasi,0|0|0|1|0,wholesaler,accept,0.092,1.0,1,demand_estimate ×0.95,"Store Manager menerima rekomendasi coordinator (R8, urgency=normal)",100
468,2026-07-23 03:00,farm,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,accept,0.717,1.0,2,outgoing_orders ×0.75; production_capacity ×1.05,"Farm Manager menerima rekomendasi coordinator (R12, urgency=high)",100
468,2026-07-23 03:00,wholesaler,R12,high,Produksi dan distribusi terganggu secara bersamaan,0|1|0|1|0,farm|wholesaler,modify,0.681,0.919,2,distribution_capacity ×0.85; delivery_schedule='rerouted',Distribution Manager memodifikasi instruksi (faktor=0.92) — pendekatan lebih konservatif,100
