tick,timestamp,tier,rule_id,urgency,urgency_reason,decision,response_time,modification_factor,n_instructions,rationale,scenario_id
36,2026-03-22 15:00,farm,R4,normal,Gangguan lokal di Farm masih dapat diredam,modify,1.29,0.783,1,Farm Manager memodifikasi instruksi (faktor=0.78) — pendekatan lebih konservatif,41
36,2026-03-22 15:00,slaughterhouse,R4,normal,Gangguan lokal di Farm masih dapat diredam,accept,0.263,1.0,1,"Operations Manager menerima rekomendasi coordinator (R4, urgency=normal)",41
36,2026-03-22 15:00,retail,R4,normal,Gangguan lokal di Farm masih dapat diredam,accept,0.311,1.0,1,"Store Manager menerima rekomendasi coordinator (R4, urgency=normal)",41
72,2026-03-23 00:00,wholesaler,R14,normal,Gangguan di Retail belum menjalar ke upstream,accept,1.434,1.0,1,"Distribution Manager menerima rekomendasi coordinator (R14, urgency=normal)",41
72,2026-03-23 00:00,retail,R14,normal,Gangguan di Retail belum menjalar ke upstream,accept,0.362,1.0,2,"Store Manager menerima rekomendasi coordinator (R14, urgency=normal)",41
72,2026-03-23 00:00,slaughterhouse,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,override,0.548,0.55,1,Operations Manager mengganti instruksi (faktor=0.55) — kebijakan lokal diprioritaskan,41
72,2026-03-23 00:00,wholesaler,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,accept,1.029,1.0,2,"Distribution Manager menerima rekomendasi coordinator (R9, urgency=high)",41
72,2026-03-23 00:00,retail,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,accept,0.241,1.0,2,"Store Manager menerima rekomendasi coordinator (R9, urgency=high)",41
144,2026-03-23 18:00,slaughterhouse,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,accept,0.689,1.0,1,"Operations Manager menerima rekomendasi coordinator (R9, urgency=high)",41
144,2026-03-23 18:00,wholesaler,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,modify,1.19,0.88,2,Distribution Manager memodifikasi instruksi (faktor=0.88) — pendekatan lebih konservatif,41
144,2026-03-23 18:00,retail,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,accept,0.198,1.0,2,"Store Manager menerima rekomendasi coordinator (R9, urgency=high)",41
216,2026-03-24 12:00,slaughterhouse,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,accept,0.557,1.0,1,"Operations Manager menerima rekomendasi coordinator (R9, urgency=high)",41
216,2026-03-24 12:00,wholesaler,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,accept,0.864,1.0,2,"Distribution Manager menerima rekomendasi coordinator (R9, urgency=high)",41
216,2026-03-24 12:00,retail,R9,high,Gangguan distribusi berdampak langsung pada ketersediaan Retail,override,0.129,0.4,2,Store Manager mengganti instruksi (faktor=0.40) — kebijakan lokal diprioritaskan,41
